token_idx,layer_id,event,vram_mb,ram_mb
5,17,After Layer 17,5449.9677734375,8975.26953125
5,18,Before Layer 18,5449.943359375,8975.26953125
5,18,After Layer 18,5449.9677734375,8979.2265625
5,19,Before Layer 19,5449.943359375,8979.2265625
5,19,After Layer 19,5449.9697265625,8981.20703125
5,20,Before Layer 20,5449.9453125,8981.21484375
5,20,After Layer 20,5449.9697265625,8984.375
5,21,Before Layer 21,5449.9453125,8984.38671875
5,21,After Layer 21,5449.9697265625,8987.90234375
5,22,Before Layer 22,5449.9453125,8987.90234375
5,22,After Layer 22,5449.9697265625,8987.98046875
5,23,Before Layer 23,5449.9453125,8987.98046875
5,23,After Layer 23,5449.9716796875,8988.00390625
5,24,Before Layer 24,5449.947265625,8988.00390625
5,24,After Layer 24,5449.9716796875,8991.10546875
5,25,Before Layer 25,5449.947265625,8991.10546875
5,25,After Layer 25,5449.9716796875,8991.11328125
5,26,Before Layer 26,5449.947265625,8991.11328125
5,26,After Layer 26,5449.9716796875,8994.31640625
5,27,Before Layer 27,5449.947265625,8994.31640625
5,27,After Layer 27,5449.9736328125,8994.32421875
5,28,Before Layer 28,5449.94921875,8994.32421875
5,28,After Layer 28,5449.9736328125,8997.59765625
5,29,Before Layer 29,5449.94921875,8997.59765625
5,29,After Layer 29,5449.9736328125,9000.8671875
5,30,Before Layer 30,5449.94921875,9000.87109375
5,30,After Layer 30,5449.9736328125,9001.421875
5,31,Before Layer 31,5449.94921875,9001.43359375
5,31,After Layer 31,5449.9755859375,9001.65625
5,32,Before Layer 32,5449.951171875,9001.66796875
5,32,After Layer 32,5449.9755859375,9001.76171875
5,33,Before Layer 33,5449.951171875,9001.76953125
5,33,After Layer 33,5449.9755859375,9004.78125
5,34,Before Layer 34,5449.951171875,9004.78125
5,34,After Layer 34,5449.9755859375,9004.78515625
5,35,Before Layer 35,5449.951171875,9004.78515625
5,35,After Layer 35,5449.9775390625,9004.796875
5,36,Before Layer 36,5449.953125,9004.796875
5,36,After Layer 36,5449.9775390625,9004.80859375
5,37,Before Layer 37,5449.953125,9004.80859375
5,37,After Layer 37,5449.9775390625,9005.06640625
5,38,Before Layer 38,5449.953125,9005.06640625
5,38,After Layer 38,5449.9775390625,9005.07421875
5,39,Before Layer 39,5449.953125,9005.07421875
5,39,After Layer 39,5449.9794921875,9005.08203125
6,0,Before Layer 0,5449.955078125,9005.17578125
6,0,After Layer 0,5449.9794921875,9022.7265625
6,1,Before Layer 1,5449.955078125,9022.73046875
6,1,After Layer 1,5449.9794921875,9024.3828125
6,2,Before Layer 2,5449.955078125,9024.3828125
6,2,After Layer 2,5449.9794921875,9022.26171875
6,3,Before Layer 3,5449.955078125,9021.97265625
6,3,After Layer 3,5449.9814453125,9013.04296875
6,4,Before Layer 4,5449.95703125,9012.8671875
6,4,After Layer 4,5449.9814453125,9019.1796875
6,5,Before Layer 5,5449.95703125,9019.1796875
6,5,After Layer 5,5449.9814453125,9015.86328125
6,6,Before Layer 6,5449.95703125,9015.03515625
6,6,After Layer 6,5449.9814453125,9010.49609375
6,7,Before Layer 7,5449.95703125,9010.01953125
6,7,After Layer 7,5449.9833984375,9011.859375
6,8,Before Layer 8,5449.958984375,9011.859375
6,8,After Layer 8,5449.9833984375,9012.26953125
6,9,Before Layer 9,5449.958984375,9012.26953125
6,9,After Layer 9,5449.9833984375,9015.9609375
6,10,Before Layer 10,5449.958984375,9015.9609375
6,10,After Layer 10,5449.9833984375,9019.41015625
6,11,Before Layer 11,5449.958984375,9019.40234375
6,11,After Layer 11,5449.9853515625,9013.58984375
6,12,Before Layer 12,5449.9609375,9013.46875
6,12,After Layer 12,5449.9853515625,9010.32421875
6,13,Before Layer 13,5449.9609375,9010.32421875
6,13,After Layer 13,5449.9853515625,9019.45703125
6,14,Before Layer 14,5449.9609375,9019.45703125
6,14,After Layer 14,5449.9853515625,9025.75
6,15,Before Layer 15,5449.9609375,9025.75
6,15,After Layer 15,5449.9873046875,9030.21875
6,16,Before Layer 16,5449.962890625,9030.21875
6,16,After Layer 16,5449.9873046875,9037.96875
6,17,Before Layer 17,5449.962890625,9037.96875
6,17,After Layer 17,5449.9873046875,9049.62890625
6,18,Before Layer 18,5449.962890625,9049.62890625
6,18,After Layer 18,5449.9873046875,9060.78515625
6,19,Before Layer 19,5449.962890625,9060.78515625
6,19,After Layer 19,5449.9892578125,9070.36328125
6,20,Before Layer 20,5449.96484375,9070.36328125
6,20,After Layer 20,5449.9892578125,9075.15625
6,21,Before Layer 21,5449.96484375,9075.15625
6,21,After Layer 21,5449.9892578125,9064.69921875
6,22,Before Layer 22,5449.96484375,9064.68359375
6,22,After Layer 22,5449.9892578125,9058.25390625
6,23,Before Layer 23,5449.96484375,9058.12890625
6,23,After Layer 23,5449.9912109375,9062.08203125
6,24,Before Layer 24,5449.966796875,9062.08203125
6,24,After Layer 24,5449.9912109375,9071.09375
6,25,Before Layer 25,5449.966796875,9071.09375
6,25,After Layer 25,5449.9912109375,9078.0625
6,26,Before Layer 26,5449.966796875,9078.0546875
6,26,After Layer 26,5449.9912109375,9053.328125
6,27,Before Layer 27,5449.966796875,9053.0234375
6,27,After Layer 27,5449.9931640625,9048.6484375
6,28,Before Layer 28,5449.96875,9048.6640625
6,28,After Layer 28,5449.9931640625,9061.19140625
6,29,Before Layer 29,5449.96875,9061.20703125
6,29,After Layer 29,5449.9931640625,9070.234375
6,30,Before Layer 30,5449.96875,9070.234375
